"","CDS_Brazil","CDS_Chile","CDS_China","CDS_Colombia","CDS_Indonesia","CDS_Korea","CDS_Malaysia","CDS_Mexico","CDS_Peru","CDS_SouthAfrica","CDS_Turkey"
"Type","Dyn.Gumbel","Rot.Clayton","Dyn.Gaussian","Gumbel","Joe","Gaussian","Rot.Clayton","Student","Dyn.Student","Rot.Clayton","Gumbel"
"par1","1.34273319716358","0.0526142081185955","-0.047442958377011","1.23969882885365","1.0133964665242","0.084064758959425","0.0619428308682328","0.292326143259511","0.211825805221787","0.189955797829899","1.17686886219534"
"par2",NA,NA,NA,NA,NA,NA,NA,"12.4502397721632","6.38679026354564",NA,NA
"AIC","-155.593184885651","-0.479207572927142","0.476665596963729","-93.1297081551117","-5.63691137508852","-3.30767811559306","-1.00403501778968","-74.5581552949348","-58.374767178212","-21.9284288969304","-53.5574314508889"
"Type","Dyn.Student","Dyn.Student","Gumbel","Dyn.Student","Dyn.Student","Dyn.Gaussian","Student","Dyn.Student","Dyn.Student","Dyn.Student","Dyn.Student"
"par1","0.518418650499335","0.368219730765958","1.13808049959622","0.529746520525606","0.160074031340235","0.165450590417667","0.186503735966149","0.545506658510696","0.526775888263189","0.364247259936146","0.395921020764837"
"par2","14.7433933367875","12.1983792408275",NA,"14.0776512543517","36.2263789082646",NA,"30","11.0065711087696","10.4283379367101","13.0698203682084","15.9082371980362"
"AIC","-858.755610531358","-406.696724934484","-141.489846743107","-846.194955872115","-107.101195583582","-138.796874119922","-112.135589410129","-886.209179651107","-838.928588257203","-370.675927039699","-433.559871350424"
"Type","Dyn.Gumbel","Rot.BB7","Student","Student","Dyn.Gaussian","Dyn.Gaussian","Student","Dyn.Student","Dyn.Student","Dyn.Student","Dyn.Student"
"par1","1.36650782360837","1.2089086170263","0.312872383676204","0.458355603681498","0.241932496017341","0.128721038442874","0.267662579937608","0.448763284058213","0.425602246297192","0.333914763101025","0.241754555074547"
"par2",NA,"0.445263129639237","18.0959080565745","21.2856717145191",NA,NA,"16.6062224294963","15.1058278009649","12.7809582193168","31.9076594585029","32.647765909021"
"AIC","-337.101751824423","-311.795911412513","-164.796901176118","-367.132898979977","-110.680219197603","-59.1608505863392","-124.900429569665","-364.673872477485","-317.902536763821","-186.614400320733","-104.775334967414"
