"","CDS_Brazil","CDS_Chile","CDS_China","CDS_Colombia","CDS_Indonesia","CDS_Korea","CDS_Malaysia","CDS_Mexico","CDS_Peru","CDS_SouthAfrica","CDS_Turkey","vix","EMBI_Global","bcmpi","bsoft","benergy","bindustrial","bprec"
"Mean",-0.0320722114764668,0.0213099075865033,0.00975800558779282,-0.0246045562003009,-0.0553791102514507,0.000136471093917902,0.00904792606920267,0.00918332258757791,-0.0387206103589082,0.0333528906082098,0.0758613797549968,19.2491231463572,0.0051558134536858,123.390807135182,55.0457730281539,124.162520395444,144.98643868472,173.097963228025
"Max",186.535,63.111,67.467,180.586,324.519,133.281,119.397,197.199,161.392,146.45,166.473,82.69,101.68,237.9531,115.5754,516.6562,266.763,306.8463
"Min",-124.909,-64.267,-58.911,-126.521,-223.813,-168.551,-101.336,-132.962,-126.103,-82.359,-131.913,9.14,-95.8100000000001,59.4795,24.8058,15.4696,84.2325,73.2581
"SD",8.45061502414303,3.71167977650981,3.51521866546275,8.2024807207245,13.3021066559752,5.72017425415727,5.22293804983174,7.30935160998785,6.72009864001035,7.98550632293075,10.7162824694121,9.10600621029799,7.77921694071258,37.3433543497054,17.9775448892679,114.92442016022,39.4954959451759,50.2105263975203
"Skew",2.00807784593615,0.657406271268276,0.626120472807717,1.37853504439926,3.12143451773633,-2.92377629217011,1.7074953406113,3.81559382388221,1.82348024489507,2.25052687275229,1.57498127838821,2.43778470615673,0.941817089186468,0.340933282743314,0.654598357916631,1.32519061518936,0.711679350514066,0.00479155079295518
"Kurt",78.5305960349715,64.4776695355539,70.6071624635964,80.9099599557331,167.845660326289,263.7943481317,125.901681350522,165.49077305036,117.922098505163,55.3875691912217,45.0100283574486,8.56013678495676,25.7513795320344,-0.736421773038414,0.147410661904094,0.631522218858141,-0.398851584682093,-0.494783710822654
"J-B",1198764.80190643,806345.241221978,966842.895280717,1270661.21988756,5469434.59381939,13497897.7771291,3075418.87053774,5320982.93313219,2698530.93231043,598694.202023847,394695.555753794,18815.0101712037,129252.900147848,195.282346560997,336.513867391372,1439.20023235313,423.623191136506,47.4805218837582
"p-value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89480678211862e-11
"ARCH",754.984797870434,462.704903102438,652.525567529543,689.576179651613,433.453157612487,373.964191486109,481.355048152237,609.890687986909,413.82546091312,1052.76335762364,2300.28490914708,768.012342780375,360.563898664655,476.741152839364,537.274797785043,637.424562402544,704.888566942007,1167.86378332667
"p-value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corr.EMBI_Global",0.399191339971942,0.300756700438285,0.242593259525432,0.413090561308991,0.250452444494464,0.226042198790332,0.254424752865497,0.402131919254166,0.380768296856445,0.37201547155892,0.378508118344991,0.0448994070156505,1,0.0110188077324368,0.00189748162549893,0.00188248106027799,0.0252029176245303,0.0013624445425597
"No.NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
