"","CDS_Brazil","CDS_Chile","CDS_China","CDS_Colombia","CDS_Indonesia","CDS_Korea","CDS_Malaysia","CDS_Mexico","CDS_Peru","CDS_SouthAfrica","CDS_Turkey","vix","EMBI_Global"
"Mean",-0.0296592592592593,0.0265360269360269,-0.0273750841750842,0.0338599326599327,-0.0415393939393939,-0.0081037037037037,-0.0585070707070707,-0.0265717171717172,-0.00541683501683502,-0.00856902356902356,0.259723232323232,19.1020067340067,0.0164242424242424
"Max",91.78,28.32,26.514,61.13,50.783,12.227,43.28,54.815,26.993,146.45,166.473,82.69,65.87
"Min",-81.699,-32.625,-19.943,-83.856,-49.521,-15.214,-38.337,-60.236,-29.734,-49.628,-127.486,9.14,-53.4
"SD",7.64650032961652,2.66402202176101,2.2016237401165,5.74304080746576,5.2941732270789,1.36642066607529,3.66244639723944,5.75947257627654,2.75106153623133,8.09041578183897,12.959736860579,8.65667232570759,6.71743411580795
"Skew",1.92221707647697,0.660366580039949,1.03656624377163,-0.298299502600197,1.55773249783081,-0.0519309772352313,1.32194408671538,1.36313806316999,0.886977822193453,4.18156453661571,2.61500700835262,2.29459285110041,1.91976140409634
"Kurt",42.9991958777355,38.0375666582067,26.2097338530487,57.08175759827,32.2640823558328,26.4894116547216,49.959541422612,40.788167931351,26.6337756482877,80.6170286774921,42.9166393179311,9.43052209823714,22.600282522317
"J-B",115317.088430461,89632.1753265047,42770.9716680607,201631.009441991,65010.6475674454,43417.6699967312,154869.779037061,103399.759529126,44086.2421670287,406459.798017267,115656.19169942,6805.96367062984,32516.2224017718
"p-value",0,0,0,0,0,0,0,0,0,0,0,0,0
"ARCH",113.253549955325,68.4900426948399,109.376628168221,84.875957615307,110.279543962689,138.586277048289,143.802627610911,111.762378567358,71.3564878379694,700.658831489363,2852.21042599891,301.187224698394,78.736936153582
"p-value",1.99840144432528e-15,1.6364302990457e-07,1.04360964314765e-14,2.64732125110356e-10,7.105427357601e-15,0,0,3.77475828372553e-15,5.46483726049374e-08,0,0,0,3.06688208162598e-09
"Corr.EMBI_Global",0.346339520874008,0.348425631689105,0.302356899938461,0.37955734266654,0.30370197194589,0.202753375318035,0.304442813624683,0.3641552362214,0.354321217950752,0.391784098369691,0.32282053451372,0.0456897225751911,1
"No.NA",0,0,0,0,0,0,0,0,0,0,0,0,0
