"","CDS_Brazil","CDS_Chile","CDS_China","CDS_Colombia","CDS_Indonesia","CDS_Korea","CDS_Malaysia","CDS_Mexico","CDS_Peru","CDS_SouthAfrica","CDS_Turkey","vix"
"Mean",-0.37098087431694,-0.0129781420765027,-0.00737978142076502,-0.269972677595628,-0.21552868852459,-0.00782103825136612,0.000282786885245903,-0.0543196721311475,-0.22172131147541,-0.0333469945355191,-0.163591530054645,0.0115710382513661
"Max",38.217,10.25,10.6,63.167,55.416,6.427,7.793,23.754,55.799,16.733,39.67,7.16
"Min",-26.955,-8.187,-3.958,-67.8339999999999,-91.667,-4.458,-4.625,-10.116,-21.333,-10.75,-32.5,-5.56
"SD",6.81926498919009,0.834960175537502,0.685475798510089,10.0994883145333,5.58275665134861,0.795174791336491,0.791674118780106,2.33234131152136,5.72253331242639,1.74208951533211,6.86271661589082,0.890574979354502
"Skew",0.696314557296295,1.26536407135146,4.9387553381559,0.0797221889547179,-4.80335330791038,1.54238514544608,2.36610011641573,1.76573009719118,1.60463952641278,1.66457085737943,0.766012510335948,0.820409689984746
"Kurt",3.51106643354153,44.9946989234866,81.6491602009224,13.5736269846177,114.015500328822,13.9320292046964,25.8024576419239,18.4498810406292,14.5967285843703,18.5919835805117,4.62666949806875,10.7510971770093
"J-B",435.143602222365,61943.2892424981,206306.592649635,5620.19754682928,399300.60538064,6210.32598799657,20988.8964519101,10762.5143062952,6812.60070084266,10880.7236594564,724.471724903896,3607.49055178898
"p-value",0,0,0,0,0,0,0,0,0,0,0,0
"ARCH",84.3001039664727,178.115082415531,500.374370825311,65.3349904202717,1264.33257097632,93.1878632602979,30.8921206021957,271.451427653751,313.925535793428,94.7927543785034,80.8993351978354,137.630657136923
"p-value",3.33745475700198e-10,0,0,5.38588317389177e-07,0,8.99047503111206e-12,0.041486724704328,0,0,4.64273064437748e-12,1.30075561433074e-09,0
"Corr.vix",0.258565652881871,0.0142722557917364,-0.0396698597349073,0.196045045662725,-0.00496221907125813,0.00926322804682401,-0.00325487801253944,0.178170151596788,0.142361026465483,0.0711232560998671,0.129748150803574,1
"No.NA",0,0,0,0,0,0,0,0,0,0,0,0
